@relation mean_amplitude
@attribute ch_0 REAL
@attribute ch_1 REAL
@attribute ch_2 REAL
@attribute ch_3 REAL
@attribute ch_4 REAL
@attribute ch_5 REAL
@attribute ch_6 REAL
@attribute ch_7 REAL
@attribute ch_8 REAL
@attribute ch_9 REAL
@attribute ch_10 REAL
@attribute ch_11 REAL
@attribute ch_12 REAL
@attribute ch_13 REAL
@attribute ch_14 REAL
@attribute ch_15 REAL
@attribute ch_16 REAL
@attribute ch_17 REAL
@attribute ch_18 REAL
@attribute ch_19 REAL
@attribute ch_20 REAL
@attribute ch_21 REAL
@attribute ch_22 REAL
@attribute ch_23 REAL
@attribute ch_24 REAL
@attribute ch_25 REAL
@attribute ch_26 REAL
@attribute ch_27 REAL
@attribute ch_28 REAL
@attribute ch_29 REAL
@attribute ch_30 REAL
@attribute ch_31 REAL
@attribute orientation_classes {0,45,90,180,135,225,315,270}
@data
76.17,0.00,0.00,0.00,0.00,0.00,0.00,61.08,0.00,62.76,0.00,0.00,0.00,0.00,68.98,76.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.34,315
0.00,0.00,0.00,0.00,0.00,61.35,0.00,57.61,0.00,65.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45
56.72,0.00,0.00,0.00,84.88,0.00,0.00,0.00,60.12,62.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225
0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.54,0.00,66.37,0.00,0.00,0.00,0.00,67.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.67,0.00,59.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315
0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.42,0.00,0.00,0.00,0.00,0.00,0.00,82.55,51.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90
0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315
0.00,0.00,0.00,0.00,0.00,64.31,0.00,60.30,64.46,58.86,0.00,0.00,0.00,0.00,0.00,52.01,0.00,53.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.73,0.00,65.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.19,90
52.06,0.00,0.00,0.00,0.00,0.00,0.00,55.68,0.00,55.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
101.31,0.00,0.00,0.00,0.00,0.00,0.00,61.98,0.00,61.94,0.00,0.00,0.00,0.00,85.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45
90.64,0.00,0.00,0.00,56.94,72.69,0.00,60.04,52.86,62.36,0.00,0.00,0.00,0.00,82.00,52.61,0.00,0.00,0.00,0.00,0.00,54.66,0.00,0.00,64.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45
52.76,0.00,0.00,0.00,0.00,0.00,0.00,54.34,0.00,54.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90
0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.16,0.00,63.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.98,55.83,0.00,0.00,0.00,0.00,0.00,55.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.09,225
0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180
70.06,0.00,0.00,0.00,54.34,63.56,0.00,62.52,62.77,64.07,0.00,51.06,0.00,0.00,85.76,68.79,0.00,0.00,0.00,0.00,55.30,54.58,0.00,0.00,62.59,0.00,0.00,52.46,0.00,0.00,0.00,0.00,180
64.81,0.00,0.00,0.00,0.00,52.75,0.00,0.00,58.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270
69.96,0.00,0.00,0.00,0.00,0.00,0.00,58.72,0.00,65.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180
66.37,0.00,0.00,0.00,61.70,0.00,0.00,61.01,61.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270
52.20,0.00,0.00,0.00,0.00,70.05,0.00,65.54,0.00,64.84,0.00,0.00,0.00,0.00,94.30,69.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.27,225
0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.95,0.00,0.00,0.00,0.00,270
59.66,0.00,0.00,0.00,79.29,98.96,0.00,59.41,0.00,56.83,0.00,0.00,0.00,0.00,58.19,0.00,0.00,0.00,0.00,0.00,0.00,52.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270
63.95,0.00,0.00,0.00,65.91,57.64,0.00,56.04,61.86,52.76,0.00,54.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315
55.61,0.00,0.00,0.00,56.91,50.70,0.00,58.48,56.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.95,62.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.09,0.00,0.00,0.00,55.15,0
0.00,0.00,0.00,0.00,0.00,51.79,0.00,57.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.20,315
58.70,0.00,0.00,0.00,0.00,0.00,0.00,62.10,71.97,57.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180
0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,0.00,67.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.70,0.00,0.00,0.00,59.16,315
0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.75,0.00,61.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90
0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,98.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180
