@relation mean_amplitude
@attribute ch_0 REAL
@attribute ch_1 REAL
@attribute ch_2 REAL
@attribute ch_3 REAL
@attribute ch_4 REAL
@attribute ch_5 REAL
@attribute ch_6 REAL
@attribute ch_7 REAL
@attribute ch_8 REAL
@attribute ch_9 REAL
@attribute ch_10 REAL
@attribute ch_11 REAL
@attribute ch_12 REAL
@attribute ch_13 REAL
@attribute ch_14 REAL
@attribute ch_15 REAL
@attribute ch_16 REAL
@attribute ch_17 REAL
@attribute ch_18 REAL
@attribute ch_19 REAL
@attribute ch_20 REAL
@attribute ch_21 REAL
@attribute ch_22 REAL
@attribute ch_23 REAL
@attribute ch_24 REAL
@attribute ch_25 REAL
@attribute ch_26 REAL
@attribute ch_27 REAL
@attribute ch_28 REAL
@attribute ch_29 REAL
@attribute ch_30 REAL
@attribute ch_31 REAL
@attribute orientation_classes {0,45,90,180,135,225,315,270}
@data
22.07,0.00,0.00,0.00,12.35,10.56,0.00,8.44,7.90,13.61,0.00,0.00,0.00,0.00,5.06,2.33,2.80,6.02,0.00,0.00,0.00,4.01,0.00,0.00,51.39,0.00,0.00,0.00,0.00,0.00,0.00,5.14,45
32.92,0.00,8.31,0.00,21.26,23.20,0.00,16.39,19.68,26.84,0.00,0.00,0.00,0.00,6.49,9.79,4.27,6.03,0.00,0.00,0.00,0.00,0.00,0.00,2.37,8.60,0.00,2.17,0.00,4.46,0.00,8.61,225
14.38,0.00,0.00,0.00,13.36,15.01,0.00,17.78,10.28,17.53,0.00,0.00,0.00,0.00,7.29,2.04,4.16,8.70,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.00,0.00,1.94,0.00,0.00,0.00,12.04,0
4.46,0.00,0.00,0.00,3.40,5.01,0.00,7.97,4.21,9.26,0.00,0.00,0.00,0.00,1.64,0.00,6.03,6.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,5.71,315
7.08,0.00,2.13,0.00,5.16,7.08,0.00,9.70,6.16,15.96,0.00,0.00,0.00,0.00,3.63,2.87,7.55,14.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.91,7.92,0.00,0.00,0.00,12.72,90
36.68,3.98,5.71,1.77,28.38,22.24,0.00,15.52,16.70,31.02,0.00,14.18,0.00,0.00,5.58,1.75,6.13,13.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,5.28,0.00,0.00,0.00,10.07,45
14.13,0.00,13.46,0.94,10.51,8.47,0.00,12.97,7.68,23.43,0.00,0.00,0.00,0.00,2.49,2.40,5.26,13.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181.30,4.67,6.71,182.34,0.00,0.00,12.62,315
46.81,15.74,3.14,0.00,15.58,25.70,0.00,32.37,13.31,26.91,1.04,3.47,0.00,0.00,24.07,17.94,12.23,22.87,0.00,0.00,3.10,6.60,0.00,0.00,8.32,1.59,74.71,11.45,0.00,32000.00,0.00,18.68,135
11.61,0.00,16.12,1.33,4.47,12.09,0.00,16.31,10.91,19.59,0.00,0.00,0.00,0.00,14.07,9.50,6.97,12.52,0.00,0.00,4.92,2.55,22.74,0.00,10.46,0.00,0.00,11.12,0.00,0.00,0.00,11.64,90
45.97,0.00,0.00,1.20,27.74,25.16,2.51,25.92,25.78,29.06,0.00,1.61,0.00,0.00,6.19,3.09,6.39,14.72,0.00,0.00,0.00,0.00,0.00,0.00,6.69,0.00,2.55,8.49,0.00,0.00,0.00,12.43,225
